,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
0,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,128,0,Intel Iris,Mac,1.37,inf
1,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,128,Intel HD Graphics,Mac,1.34,inf
2,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,No OS,1.86,inf
3,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.7,16,0,512,0,AMD Radeon,Mac,1.83,inf
4,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,3.1,8,0,256,0,Intel Iris,Mac,1.37,inf
5,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,500,0,0,AMD Radeon,Windows 10,2.1,inf
6,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.2,16,0,0,256,Intel Iris,Mac X,2.04,inf
7,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,256,Intel HD Graphics,Mac,1.34,inf
8,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,1.3,inf
9,Acer,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,inf
10,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,500,0,0,Intel HD Graphics,No OS,1.86,inf
11,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,No OS,1.86,inf
12,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.8,16,0,256,0,AMD Radeon,Mac,1.83,inf
13,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Windows 10,2.2,inf
14,Apple,Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core M,1.2,8,0,256,0,Intel HD Graphics,Mac,0.92,inf
15,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,256,0,Intel Iris,Mac,1.37,inf
16,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,2.2,inf
17,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.9,16,0,512,0,AMD Radeon,Mac,1.83,inf
18,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Nvidia GeForce MX,No OS,2.2,inf
19,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,128,0,Intel UHD Graphics,Windows 10,1.22,inf
20,Asus,Netbook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Atom,1.44,2,0,0,32,Intel HD Graphics,Windows 10,0.98,inf
21,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,inf
22,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,No OS,1.86,inf
23,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.62,inf
24,HP,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel HD Graphics,Windows 10,1.91,inf
25,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.3,inf
26,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,128,Intel HD Graphics,Mac X,1.35,inf
27,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,2.2,inf
28,Dell,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.9,8,0,512,0,Intel UHD Graphics,Windows 10,1.88,inf
29,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,inf
30,Chuwi,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Windows 10,1.89,inf
31,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,2,0,0,32,AMD Radeon,Windows 10,1.65,inf
32,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,500,0,0,AMD Radeon,Windows 10,2.71,inf
33,Dell,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.2,inf
34,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,256,Intel HD Graphics,Mac X,1.35,inf
35,Lenovo,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,64,Intel HD Graphics,Windows 10,1.44,inf
36,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Intel HD Graphics,Linux,2.1,inf
37,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.8,inf
38,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,inf
39,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.1,inf
40,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Linux,2.0,inf
41,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.65,inf
42,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce MX,Linux,2.3,inf
43,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,0,256,0,Intel UHD Graphics,Windows 10,2.2,inf
44,Dell,2 in 1 Convertible,17.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,12,1000,0,0,Nvidia GeForce MX,Windows 10,2.77,inf
45,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.0,8,0,256,0,Intel Iris,Mac,1.37,inf
46,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,No OS,2.2,inf
47,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,256,0,AMD Radeon,Windows 10,3.2,inf
48,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,AMD Radeon,Windows 10,2.3,inf
49,Asus,Notebook,17.3,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.8,inf
50,Lenovo,2 in 1 Convertible,10.1,1920x1200,1920,1200,0,1,0,1,1,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Android,0.69,inf
51,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,2.2,inf
